店舗:,東京ジュリアン
日付,時間,出勤数,待機
2023-05-03,01:19,8,4
2023-05-03,02:13,6,4
2023-05-03,03:18,5,5
2023-05-03,04:12,2,2
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,13,1
2023-05-03,11:30,13,2
2023-05-03,12:15,13,3
2023-05-03,13:17,13,1
2023-05-03,14:13,13,1
2023-05-03,15:18,13,2
2023-05-03,16:14,13,4
2023-05-03,17:18,12,6
2023-05-03,18:14,12,9
2023-05-03,19:15,12,9
2023-05-03,20:12,12,7
2023-05-03,21:29,12,6
2023-05-03,22:17,11,7
2023-05-03,23:13,9,4
2023-05-04,00:15,8,4
2023-05-04,01:19,7,3
2023-05-04,02:12,6,3
2023-05-04,03:17,6,4
2023-05-04,04:11,2,2
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,16,2
2023-05-04,11:30,16,1
2023-05-04,12:15,16,2
2023-05-04,13:17,15,1
2023-05-04,14:13,20,3
2023-05-04,15:18,20,5
2023-05-04,16:14,21,11
2023-05-04,17:18,22,12
2023-05-04,18:14,22,11
2023-05-04,19:15,21,9
2023-05-04,20:12,20,12
2023-05-04,21:28,19,9
2023-05-04,22:18,17,9
2023-05-04,23:13,17,10
2023-05-05,00:15,16,10
2023-05-05,01:28,15,8
2023-05-05,02:12,13,10
2023-05-05,03:18,13,12
2023-05-05,04:11,3,2
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,24,1
2023-05-05,11:29,28,1
2023-05-05,12:15,28,2
2023-05-05,13:17,27,2
2023-05-05,14:13,27,3
2023-05-05,15:19,26,3
2023-05-05,16:13,27,12
2023-05-05,17:17,25,11
2023-05-05,18:14,24,8
2023-05-05,19:15,22,11
2023-05-05,20:12,20,8
2023-05-05,21:27,18,5
2023-05-05,22:17,18,8
2023-05-05,23:13,18,10
2023-05-06,00:14,16,8
2023-05-06,01:19,13,6
2023-05-06,02:12,12,10
2023-05-06,03:17,10,10
2023-05-06,04:11,2,2
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,21,2
2023-05-06,11:27,21,2
2023-05-06,12:15,19,4
2023-05-06,13:16,20,5
2023-05-06,14:13,20,7
2023-05-06,15:17,19,5
2023-05-06,16:13,20,7
2023-05-06,17:16,19,8
2023-05-06,18:13,18,8
2023-05-06,19:14,16,8
2023-05-06,20:11,15,8
2023-05-06,21:26,13,5
2023-05-06,22:15,13,5
2023-05-06,23:11,13,7
2023-05-07,00:13,12,10
2023-05-07,01:17,12,6
2023-05-07,02:11,10,5
2023-05-07,03:17,6,3
2023-05-07,04:10,1,1
2023-05-07,05:13,1,1
2023-05-07,06:12,1,1
2023-05-07,07:12,1,1
2023-05-07,08:14,1,1
2023-05-07,10:18,22,3
2023-05-07,11:35,22,3
2023-05-07,12:15,22,5
2023-05-07,13:17,22,5
2023-05-07,14:13,20,6
2023-05-07,15:18,19,6
2023-05-07,16:12,19,8
2023-05-07,17:16,19,8
2023-05-07,18:13,18,8
2023-05-07,19:14,14,7
2023-05-07,20:11,13,7
2023-05-07,21:26,12,6
2023-05-07,22:15,11,7
2023-05-07,23:12,10,7
2023-05-08,00:14,10,7
2023-05-08,01:17,10,9
2023-05-08,02:12,9,5
2023-05-08,03:16,9,7
2023-05-08,04:10,2,2
2023-05-08,05:14,1,1
