店舗:,東京ジュリアン
日付,時間,出勤数,待機
2023-05-03,01:19,8,4
2023-05-03,02:13,6,4
2023-05-03,03:18,5,5
2023-05-03,04:12,2,2
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,13,1
2023-05-03,11:30,13,2
2023-05-03,12:15,13,3
2023-05-03,13:17,13,1
2023-05-03,14:13,13,1
2023-05-03,15:18,13,2
2023-05-03,16:14,13,4
2023-05-03,17:18,12,6
2023-05-03,18:14,12,9
2023-05-03,19:15,12,9
2023-05-03,20:12,12,7
2023-05-03,21:29,12,6
2023-05-03,22:17,11,7
2023-05-03,23:13,9,4
2023-05-04,00:15,8,4
2023-05-04,01:19,7,3
2023-05-04,02:12,6,3
2023-05-04,03:17,6,4
2023-05-04,04:11,2,2
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,16,2
2023-05-04,11:30,16,1
2023-05-04,12:15,16,2
2023-05-04,13:17,15,1
2023-05-04,14:13,20,3
2023-05-04,15:18,20,5
2023-05-04,16:14,21,11
2023-05-04,17:18,22,12
2023-05-04,18:14,22,11
2023-05-04,19:15,21,9
2023-05-04,20:12,20,12
2023-05-04,21:28,19,9
2023-05-04,22:18,17,9
2023-05-04,23:13,17,10
