店舗:,東京ステラ池袋
日付,時間,出勤数,待機
2023-05-03,01:19,4,3
2023-05-03,02:13,4,2
2023-05-03,03:18,3,2
2023-05-03,04:12,3,1
2023-05-03,05:15,1,1
2023-05-03,06:12,17,1
2023-05-03,07:13,17,1
2023-05-03,08:14,17,1
2023-05-03,10:15,16,2
2023-05-03,11:30,16,1
2023-05-03,12:15,16,1
2023-05-03,13:17,15,1
2023-05-03,14:13,15,2
2023-05-03,15:18,14,1
2023-05-03,16:14,14,1
2023-05-03,17:18,13,2
2023-05-03,18:14,12,3
2023-05-03,19:15,11,3
2023-05-03,20:12,8,3
2023-05-03,21:29,7,3
2023-05-03,22:17,7,4
2023-05-03,23:13,6,2
2023-05-04,00:15,6,2
2023-05-04,01:19,5,1
2023-05-04,02:12,5,1
2023-05-04,03:17,2,2
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,20,1
2023-05-04,07:14,20,1
2023-05-04,08:14,20,1
2023-05-04,10:12,20,1
2023-05-04,11:30,20,4
2023-05-04,12:15,18,3
2023-05-04,13:17,18,1
2023-05-04,14:13,18,3
2023-05-04,15:18,18,2
2023-05-04,16:14,16,2
2023-05-04,17:18,16,2
2023-05-04,18:14,16,5
2023-05-04,19:15,15,6
2023-05-04,20:12,13,3
2023-05-04,21:28,10,2
2023-05-04,22:18,8,1
2023-05-04,23:13,7,1
2023-05-05,00:15,7,3
2023-05-05,01:28,5,2
2023-05-05,02:12,4,3
2023-05-05,03:18,3,3
2023-05-05,04:11,2,2
2023-05-05,05:15,2,2
2023-05-05,06:12,12,1
2023-05-05,07:13,12,1
2023-05-05,08:15,12,1
2023-05-05,10:07,12,2
2023-05-05,11:29,10,1
2023-05-05,12:15,10,1
2023-05-05,13:17,10,1
2023-05-05,14:13,10,2
2023-05-05,15:19,10,2
2023-05-05,16:13,10,2
2023-05-05,17:17,9,1
2023-05-05,18:14,9,3
2023-05-05,19:15,9,4
2023-05-05,20:12,8,3
2023-05-05,21:27,6,3
2023-05-05,22:17,6,1
2023-05-05,23:13,5,1
2023-05-06,00:14,4,2
2023-05-06,01:19,4,2
2023-05-06,02:12,4,1
2023-05-06,03:17,4,2
2023-05-06,04:11,3,1
2023-05-06,05:14,2,1
2023-05-06,06:12,15,1
