店舗:,埼玉県ヘルス24
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,2,1
2023-05-16,14:13,2,1
2023-05-16,15:18,2,1
2023-05-16,16:13,2,1
2023-05-16,17:18,2,1
2023-05-16,18:14,2,2
2023-05-16,19:15,2,1
2023-05-16,20:11,2,2
2023-05-16,21:31,2,1
2023-05-16,22:17,2,1
2023-05-16,23:13,2,2
2023-05-17,00:14,2,2
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
2023-05-17,11:32,1,1
2023-05-17,12:15,1,1
2023-05-17,13:17,3,2
2023-05-17,14:13,3,3
2023-05-17,15:18,3,2
2023-05-17,16:13,1,1
2023-05-17,17:18,1,1
2023-05-17,18:14,2,2
2023-05-17,19:15,2,2
2023-05-17,20:11,2,1
2023-05-17,21:28,2,2
2023-05-17,22:17,2,2
2023-05-17,23:13,2,1
2023-05-18,00:14,2,1
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
2023-05-18,03:17,1,1
