店舗:,新潟県リシャール
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,10,1
2023-05-16,11:33,10,1
2023-05-16,12:15,10,1
2023-05-16,13:17,11,3
2023-05-16,14:13,11,6
2023-05-16,15:18,11,7
2023-05-16,16:13,11,8
2023-05-16,17:18,11,9
2023-05-16,18:14,11,9
2023-05-16,19:15,11,9
2023-05-16,20:11,11,6
2023-05-16,21:31,11,4
2023-05-16,22:17,11,4
2023-05-16,23:13,11,8
2023-05-17,00:14,8,7
2023-05-17,01:18,7,6
2023-05-17,02:12,2,2
2023-05-17,03:17,2,2
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
