店舗:,香川県ココイク
日付,時間,出勤数,待機
2023-05-03,01:19,7,6
2023-05-03,02:13,3,3
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,3,3
2023-05-03,13:17,3,3
2023-05-03,14:13,3,1
2023-05-03,15:18,8,5
2023-05-03,16:14,8,6
2023-05-03,17:18,8,6
2023-05-03,18:14,8,3
2023-05-03,19:15,8,4
2023-05-03,20:12,8,1
2023-05-03,21:29,8,3
2023-05-03,22:17,8,4
2023-05-03,23:13,8,3
2023-05-04,00:15,8,4
