店舗:,神奈川プレミアム
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,6,1
2023-05-03,10:15,8,3
2023-05-03,11:30,7,4
2023-05-03,12:15,7,5
2023-05-03,13:17,7,6
2023-05-03,14:13,8,4
2023-05-03,15:18,5,1
2023-05-03,16:14,5,1
2023-05-03,17:18,5,4
2023-05-03,18:14,4,2
2023-05-03,19:15,4,3
2023-05-03,20:12,4,4
2023-05-03,21:29,4,3
2023-05-03,22:17,4,4
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
