店舗:,エクスタシー
日付,時間,出勤数,待機
2023-04-10,03:16,1,1
2023-04-10,04:10,1,1
2023-04-10,05:14,1,1
2023-04-10,06:11,1,1
2023-04-10,07:12,1,1
2023-04-10,08:13,2,1
2023-04-10,10:11,15,9
2023-04-10,11:28,14,7
2023-04-10,13:17,14,10
2023-04-10,14:14,11,7
2023-04-10,17:18,7,5
2023-04-10,19:15,4,2
2023-04-10,20:11,4,3
2023-04-10,21:28,3,2
2023-04-10,23:12,3,3
2023-04-11,00:13,1,1
2023-04-11,02:12,1,1
2023-04-11,03:18,1,1
2023-04-11,05:15,1,1
2023-04-11,06:12,1,1
2023-04-11,07:13,1,1
2023-04-11,08:14,11,1
2023-04-11,10:12,11,8
2023-04-11,11:30,11,9
2023-04-11,13:17,11,9
2023-04-11,15:19,8,6
