店舗:,ラヴィッシュ
日付,時間,出勤数,待機
2023-04-10,03:16,6,0
2023-04-10,04:10,6,0
2023-04-10,05:14,3,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,0,0
2023-04-10,11:28,0,0
2023-04-10,13:17,0,0
2023-04-10,14:14,3,1
2023-04-10,17:18,8,5
2023-04-10,19:15,8,4
2023-04-10,20:11,8,4
2023-04-10,21:28,7,5
2023-04-10,23:12,6,0
2023-04-11,00:13,6,0
2023-04-11,02:12,6,0
2023-04-11,03:18,6,0
2023-04-11,05:15,2,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,0,0
2023-04-11,11:30,0,0
2023-04-11,13:17,3,1
2023-04-11,15:19,5,2
