店舗:,恋せよ乙女
日付,時間,出勤数,待機
2023-04-10,03:16,0,0
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,0,0
2023-04-10,11:28,0,0
2023-04-10,13:17,7,7
2023-04-10,14:14,7,7
2023-04-10,17:18,13,13
2023-04-10,19:15,13,13
2023-04-10,20:11,14,14
2023-04-10,21:28,14,13
2023-04-10,23:12,10,9
2023-04-11,00:13,8,7
2023-04-11,02:12,2,2
2023-04-11,03:18,0,0
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,0,0
2023-04-11,11:30,0,0
2023-04-11,13:17,4,4
2023-04-11,15:19,6,6
2023-04-11,16:14,10,10
2023-04-11,17:19,13,12
2023-04-11,19:16,13,13
2023-04-11,20:12,13,13
2023-04-11,21:29,14,14
2023-04-11,22:18,11,11
2023-04-12,10:12,0,0
2023-04-12,11:30,0,0
2023-04-12,12:15,4,4
2023-04-12,13:17,8,8
2023-04-12,14:13,8,8
2023-04-12,15:19,13,13
2023-04-12,16:13,15,15
2023-04-12,17:18,15,15
2023-04-12,19:15,15,15
2023-04-12,22:18,10,10
2023-04-14,00:15,8,8
2023-04-14,01:18,6,6
2023-04-14,02:12,2,2
2023-04-14,03:18,0,0
2023-04-14,04:11,0,0
2023-04-14,05:15,0,0
2023-04-14,06:12,0,0
2023-04-14,07:13,0,0
2023-04-14,08:14,0,0
2023-04-14,10:13,0,0
2023-04-14,11:29,0,0
2023-04-14,12:15,0,0
2023-04-14,13:17,4,4
2023-04-14,14:13,8,8
2023-04-14,15:19,8,8
2023-04-14,16:13,14,14
