店舗:,新潟県ルーキー
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,4,2
2023-05-03,13:17,4,2
2023-05-03,14:13,4,2
2023-05-03,15:18,4,2
2023-05-03,16:14,4,4
2023-05-03,17:18,4,3
2023-05-03,18:14,4,3
2023-05-03,19:15,3,2
2023-05-03,20:12,3,2
2023-05-03,21:29,3,1
2023-05-03,22:17,3,1
2023-05-03,23:13,3,1
2023-05-04,00:15,3,1
2023-05-04,01:19,3,2
2023-05-04,02:12,2,2
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,3,1
2023-05-04,11:30,3,1
2023-05-04,12:15,5,2
2023-05-04,13:17,5,1
2023-05-04,14:13,5,2
2023-05-04,15:18,5,1
2023-05-04,16:14,5,3
2023-05-04,17:18,5,3
2023-05-04,18:14,4,3
2023-05-04,19:15,4,3
2023-05-04,20:12,4,3
2023-05-04,21:28,4,2
2023-05-04,22:18,4,2
2023-05-04,23:13,4,1
2023-05-05,00:15,3,2
2023-05-05,01:28,3,2
2023-05-05,02:12,3,2
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,3,1
2023-05-05,11:29,3,1
2023-05-05,12:15,4,2
2023-05-05,13:17,5,2
2023-05-05,14:13,5,1
2023-05-05,15:19,6,4
2023-05-05,16:13,7,4
2023-05-05,17:17,7,4
2023-05-05,18:14,7,6
2023-05-05,19:15,7,6
2023-05-05,20:12,7,6
2023-05-05,21:27,5,2
2023-05-05,22:17,5,4
2023-05-05,23:13,5,4
2023-05-06,00:14,5,4
2023-05-06,01:19,4,4
2023-05-06,02:12,3,3
2023-05-06,03:17,1,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
