店舗:,東京性の極み
日付,時間,出勤数,待機
2023-05-03,01:19,7,3
2023-05-03,02:13,6,3
2023-05-03,03:18,5,3
2023-05-03,04:12,4,4
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,7,1
2023-05-03,12:15,7,1
2023-05-03,13:17,12,8
2023-05-03,14:13,9,5
2023-05-03,15:18,9,6
2023-05-03,16:14,24,14
2023-05-03,17:18,23,15
2023-05-03,18:14,21,15
2023-05-03,19:15,21,12
2023-05-03,20:12,20,12
2023-05-03,21:29,17,15
2023-05-03,22:17,14,9
2023-05-03,23:13,13,11
2023-05-04,00:15,8,7
2023-05-04,01:19,7,5
2023-05-04,02:12,7,6
2023-05-04,03:17,5,4
2023-05-04,04:11,5,5
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,2,2
2023-05-04,13:17,5,3
2023-05-04,14:13,7,7
2023-05-04,15:18,7,7
