店舗:,福井県ルーフ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,7,7
2023-05-16,11:33,7,7
2023-05-16,12:15,9,8
2023-05-16,13:17,9,8
2023-05-16,14:13,9,8
2023-05-16,15:18,9,6
2023-05-16,16:13,11,8
2023-05-16,17:18,11,9
2023-05-16,18:14,12,10
2023-05-16,19:15,11,6
2023-05-16,20:11,11,7
2023-05-16,21:31,12,9
2023-05-16,22:17,11,9
2023-05-16,23:13,11,9
2023-05-17,00:14,10,10
2023-05-17,01:18,9,8
2023-05-17,02:12,5,5
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,2,1
2023-05-17,10:16,8,7
2023-05-17,11:32,9,6
2023-05-17,12:15,9,6
2023-05-17,13:17,9,7
