店舗:,旭川Meltymuse
日付,時間,出勤数,待機
2023-04-10,03:16,4,4
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,4,4
2023-04-10,11:28,4,4
2023-04-10,13:17,4,4
2023-04-10,14:14,6,6
2023-04-10,17:18,6,6
2023-04-10,19:15,6,6
2023-04-10,20:11,6,6
2023-04-10,21:28,6,6
2023-04-10,23:12,6,6
2023-04-11,00:13,6,6
2023-04-11,02:12,4,4
2023-04-11,03:18,4,4
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,2,2
2023-04-11,11:30,2,2
2023-04-11,13:17,4,4
2023-04-11,15:19,6,6
2023-04-11,16:14,6,6
2023-04-11,17:19,6,6
2023-04-11,19:16,6,6
2023-04-11,20:12,6,6
2023-04-11,21:29,6,6
