店舗:,群馬県姫コレクション
日付,時間,出勤数,待機
2023-05-03,01:19,11,11
2023-05-03,02:13,7,7
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,1,1
2023-05-03,11:30,1,1
2023-05-03,12:15,14,3
2023-05-03,13:17,14,4
2023-05-03,14:13,14,8
2023-05-03,15:18,13,12
2023-05-03,16:14,13,12
2023-05-03,17:18,13,13
2023-05-03,18:14,13,13
2023-05-03,19:15,13,13
2023-05-03,20:12,13,13
2023-05-03,21:29,13,13
2023-05-03,22:17,13,13
2023-05-03,23:13,13,13
2023-05-04,00:15,13,13
2023-05-04,01:19,11,11
2023-05-04,02:12,7,7
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
2023-05-04,07:14,1,1
2023-05-04,08:14,1,1
2023-05-04,10:12,1,1
2023-05-04,11:30,1,1
2023-05-04,12:15,15,3
2023-05-04,13:17,15,5
2023-05-04,14:13,15,10
2023-05-04,15:18,14,12
2023-05-04,16:14,13,11
2023-05-04,17:18,13,12
2023-05-04,18:14,12,12
2023-05-04,19:15,12,12
2023-05-04,20:12,12,12
2023-05-04,21:28,12,12
2023-05-04,22:18,12,12
2023-05-04,23:13,12,12
2023-05-05,00:15,11,11
2023-05-05,01:28,8,8
2023-05-05,02:12,6,6
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,1,1
2023-05-05,07:13,1,1
2023-05-05,08:15,1,1
2023-05-05,10:07,1,1
2023-05-05,11:29,1,1
2023-05-05,12:15,16,3
2023-05-05,13:17,16,5
2023-05-05,14:13,16,11
2023-05-05,15:19,16,13
2023-05-05,16:13,16,14
2023-05-05,17:17,15,15
2023-05-05,18:14,15,15
2023-05-05,19:15,15,15
2023-05-05,20:12,15,15
2023-05-05,21:27,14,14
2023-05-05,22:17,14,14
2023-05-05,23:13,14,14
2023-05-06,00:14,13,13
2023-05-06,01:19,11,11
2023-05-06,02:12,5,5
2023-05-06,03:17,1,1
2023-05-06,04:11,1,1
2023-05-06,05:14,1,1
2023-05-06,06:12,1,1
2023-05-06,07:13,1,1
2023-05-06,08:14,1,1
2023-05-06,10:10,1,1
2023-05-06,11:27,1,1
2023-05-06,12:15,15,4
2023-05-06,13:16,15,7
2023-05-06,14:13,15,11
2023-05-06,15:17,15,14
2023-05-06,16:13,15,14
2023-05-06,17:16,18,18
2023-05-06,18:13,18,18
2023-05-06,19:14,18,18
2023-05-06,20:11,17,17
2023-05-06,21:26,17,17
