店舗:,岐阜県コスプレアカデミー
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,12,1
2023-05-03,10:15,12,3
2023-05-03,11:30,10,3
2023-05-03,12:15,9,1
2023-05-03,13:17,9,1
2023-05-03,14:13,9,1
2023-05-03,15:18,9,3
2023-05-03,16:14,9,5
2023-05-03,17:18,9,5
2023-05-03,18:14,6,1
2023-05-03,19:15,5,1
2023-05-03,20:12,4,2
2023-05-03,21:29,5,3
2023-05-03,22:17,3,2
2023-05-03,23:13,1,1
2023-05-04,00:15,1,1
