店舗:,すすきの医乳
日付,時間,出勤数,待機
2023-05-03,01:19,11,8
2023-05-03,02:13,7,4
2023-05-03,03:18,6,6
2023-05-03,04:12,0,0
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,4,2
2023-05-03,11:30,6,4
2023-05-03,12:15,8,6
2023-05-03,13:17,8,8
2023-05-03,14:13,8,6
2023-05-03,15:18,6,2
2023-05-03,16:14,8,4
2023-05-03,17:18,12,4
2023-05-03,18:14,16,8
2023-05-03,19:15,14,10
2023-05-03,20:12,14,8
2023-05-03,21:29,16,6
2023-05-03,22:17,14,12
2023-05-03,23:13,14,12
2023-05-04,00:15,14,14
2023-05-04,01:19,12,10
2023-05-04,02:12,10,6
2023-05-04,03:17,6,4
2023-05-04,04:11,0,0
2023-05-04,05:15,0,0
2023-05-04,06:13,0,0
2023-05-04,07:14,0,0
2023-05-04,08:14,0,0
2023-05-04,10:12,4,0
2023-05-04,11:30,4,4
2023-05-04,12:15,4,0
2023-05-04,13:17,4,0
2023-05-04,14:13,6,4
2023-05-04,15:18,2,0
2023-05-04,16:14,6,0
2023-05-04,17:18,12,4
2023-05-04,18:14,16,6
2023-05-04,19:15,20,4
2023-05-04,20:12,18,10
2023-05-04,21:28,18,12
2023-05-04,22:18,22,20
2023-05-04,23:13,20,12
2023-05-05,00:15,20,10
2023-05-05,01:28,10,10
2023-05-05,02:12,10,10
2023-05-05,03:18,6,6
2023-05-05,04:11,0,0
2023-05-05,05:15,0,0
2023-05-05,06:12,0,0
2023-05-05,07:13,0,0
2023-05-05,08:15,0,0
2023-05-05,10:07,2,0
2023-05-05,11:29,4,2
2023-05-05,12:15,4,2
2023-05-05,13:17,6,4
2023-05-05,14:13,6,6
2023-05-05,15:19,8,4
2023-05-05,16:13,4,2
2023-05-05,17:17,4,0
2023-05-05,18:14,8,4
2023-05-05,19:15,10,10
2023-05-05,20:12,18,16
2023-05-05,21:27,16,14
2023-05-05,22:17,20,20
2023-05-05,23:13,18,14
2023-05-06,00:14,14,8
2023-05-06,01:19,10,8
2023-05-06,02:12,10,8
2023-05-06,03:17,6,6
2023-05-06,04:11,0,0
2023-05-06,05:14,0,0
2023-05-06,06:12,0,0
