店舗:,富山県ルーフ
日付,時間,出勤数,待機
2023-05-03,01:19,5,4
2023-05-03,02:13,2,1
2023-05-03,03:18,2,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,1,1
2023-05-03,07:13,1,1
2023-05-03,08:14,1,1
2023-05-03,10:15,12,2
2023-05-03,11:30,12,2
2023-05-03,12:15,12,3
2023-05-03,13:17,12,3
2023-05-03,14:13,11,6
2023-05-03,15:18,11,8
2023-05-03,16:14,11,7
2023-05-03,17:18,11,9
2023-05-03,18:14,10,8
2023-05-03,19:15,9,5
2023-05-03,20:12,9,8
2023-05-03,21:29,9,7
2023-05-03,22:17,8,8
2023-05-03,23:13,7,7
2023-05-04,00:15,5,4
2023-05-04,01:19,4,4
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,1,1
