店舗:,キャンディ
日付,時間,出勤数,待機
2023-04-10,03:16,0,0
2023-04-10,04:10,0,0
2023-04-10,05:14,0,0
2023-04-10,06:11,0,0
2023-04-10,07:12,0,0
2023-04-10,08:13,0,0
2023-04-10,10:11,4,4
2023-04-10,11:28,9,9
2023-04-10,13:17,17,17
2023-04-10,14:14,18,18
2023-04-10,17:18,5,5
2023-04-10,19:15,9,9
2023-04-10,20:11,9,9
2023-04-10,21:28,9,9
2023-04-10,23:12,12,12
2023-04-11,00:13,6,6
2023-04-11,02:12,0,0
2023-04-11,03:18,0,0
2023-04-11,05:15,0,0
2023-04-11,06:12,0,0
2023-04-11,07:13,0,0
2023-04-11,08:14,0,0
2023-04-11,10:12,8,8
2023-04-11,11:30,13,13
2023-04-11,13:17,13,10
2023-04-11,15:19,12,11
2023-04-11,16:14,9,8
2023-04-11,17:19,7,6
2023-04-11,19:16,9,9
2023-04-11,20:12,8,4
2023-04-11,21:29,9,7
2023-04-11,22:18,9,7
2023-04-12,10:12,14,14
2023-04-12,11:30,17,11
