店舗:,あいすキャンディー
日付,時間,出勤数,待機
2023-04-17,00:13,20,20
2023-04-17,01:18,20,20
2023-04-17,02:12,20,20
2023-04-17,03:17,20,20
2023-04-17,04:11,20,20
2023-04-17,05:14,0,0
2023-04-17,06:12,0,0
2023-04-17,07:13,0,0
2023-04-17,08:14,0,0
2023-04-17,10:14,10,10
2023-04-17,11:31,10,10
2023-04-17,12:15,10,10
2023-04-17,13:18,12,12
2023-04-17,14:14,12,12
2023-04-17,15:19,14,14
2023-04-17,16:14,14,14
2023-04-17,17:19,20,20
2023-04-17,18:15,20,20
2023-04-17,19:16,26,26
2023-04-17,20:12,24,24
2023-04-17,21:30,20,20
2023-04-17,22:18,18,18
2023-04-17,23:14,18,18
2023-04-18,00:15,18,18
2023-04-18,01:19,18,18
2023-04-18,02:13,18,18
2023-04-18,03:18,18,18
2023-04-18,04:10,18,18
2023-04-18,05:15,0,0
2023-04-18,06:12,0,0
2023-04-18,07:13,0,0
2023-04-18,08:14,0,0
2023-04-18,10:12,10,10
2023-04-18,11:30,10,10
2023-04-18,12:15,10,10
2023-04-18,13:18,10,10
2023-04-18,14:13,10,10
2023-04-18,15:19,10,10
2023-04-18,16:13,10,10
2023-04-18,17:19,18,18
2023-04-18,18:14,18,18
2023-04-18,19:15,24,24
2023-04-18,20:12,26,26
2023-04-18,21:29,24,24
2023-04-18,22:18,22,22
2023-04-18,23:16,22,22
2023-04-19,00:17,22,22
2023-04-19,01:17,22,22
2023-04-19,02:11,22,22
2023-04-19,03:18,22,22
2023-04-19,04:12,22,22
2023-04-19,05:16,0,0
2023-04-19,06:13,0,0
2023-04-19,07:14,0,0
2023-04-19,08:14,0,0
2023-04-19,10:14,10,10
2023-04-19,11:33,10,10
2023-04-19,12:15,10,10
2023-04-19,13:18,12,12
2023-04-19,14:14,12,12
2023-04-19,15:19,12,12
2023-04-19,16:13,12,12
2023-04-19,17:19,18,18
2023-04-19,18:15,16,16
2023-04-19,19:16,22,22
2023-04-19,20:12,22,22
2023-04-19,21:29,18,18
2023-04-19,22:18,18,18
2023-04-19,23:14,18,18
2023-04-20,00:15,18,18
2023-04-20,01:19,18,18
2023-04-20,02:13,18,18
2023-04-20,03:18,18,18
2023-04-20,04:12,18,18
2023-04-20,05:15,0,0
2023-04-20,06:13,0,0
2023-04-20,07:14,0,0
2023-04-20,08:14,0,0
2023-04-20,10:11,12,12
2023-04-20,11:30,12,12
2023-04-20,12:15,12,12
2023-04-20,13:18,14,14
2023-04-20,14:14,14,14
2023-04-20,15:19,16,16
2023-04-20,16:13,16,16
2023-04-20,17:18,22,22
2023-04-20,18:14,22,22
2023-04-20,19:15,30,30
2023-04-20,20:12,32,32
2023-04-20,21:29,28,28
2023-04-20,22:18,24,24
2023-04-20,23:13,24,24
2023-04-21,00:15,24,24
2023-04-21,01:19,24,24
2023-04-21,02:12,24,24
2023-04-21,03:18,24,24
2023-04-21,04:12,24,24
2023-04-21,05:15,0,0
