店舗:,沖縄県バッドガールズ
日付,時間,出勤数,待機
2023-05-16,07:13,11,1
2023-05-16,08:13,11,1
2023-05-16,10:15,11,4
2023-05-16,11:33,11,6
2023-05-16,12:15,11,7
2023-05-16,13:17,11,8
2023-05-16,14:13,11,8
2023-05-16,15:18,10,6
2023-05-16,16:13,10,6
2023-05-16,17:18,10,8
2023-05-16,18:14,10,4
2023-05-16,19:15,10,5
2023-05-16,20:11,10,7
2023-05-16,21:31,8,3
2023-05-16,22:17,6,1
2023-05-16,23:13,3,1
2023-05-17,00:14,8,1
2023-05-17,01:18,8,1
2023-05-17,02:12,8,1
2023-05-17,03:17,8,1
2023-05-17,04:11,8,1
2023-05-17,05:15,8,1
2023-05-17,06:12,8,1
2023-05-17,07:13,8,1
2023-05-17,08:13,8,1
2023-05-17,10:16,8,3
2023-05-17,11:32,8,6
2023-05-17,12:15,8,4
2023-05-17,13:17,8,4
2023-05-17,14:13,8,6
2023-05-17,15:18,8,6
2023-05-17,16:13,8,4
2023-05-17,17:18,8,4
2023-05-17,18:14,8,5
2023-05-17,19:15,8,5
2023-05-17,20:11,7,3
2023-05-17,21:28,7,2
