店舗:,私立郡山学園
日付,時間,出勤数,待機
2023-04-08,21:43,10,8
2023-04-08,21:58,10,9
2023-04-08,22:19,8,7
2023-04-08,22:29,10,7
2023-04-08,22:39,10,8
2023-04-08,22:49,10,8
2023-04-08,22:59,10,7
2023-04-08,23:15,10,7
2023-04-08,23:25,10,7
2023-04-08,23:36,10,7
2023-04-08,23:45,10,7
2023-04-08,23:55,10,7
2023-04-09,00:12,10,8
2023-04-09,00:23,10,8
2023-04-09,00:33,10,8
2023-04-09,00:43,10,9
2023-04-09,00:53,10,8
2023-04-09,01:12,10,8
2023-04-09,01:30,10,8
2023-04-09,01:40,9,7
2023-04-09,01:50,9,7
2023-04-09,02:01,8,7
2023-04-09,02:17,8,8
2023-04-09,02:27,8,8
2023-04-09,02:37,7,7
2023-04-09,02:47,7,7
2023-04-09,02:57,7,7
2023-04-09,03:29,2,2
2023-04-09,03:39,2,2
2023-04-09,03:49,0,0
2023-04-09,03:59,0,0
2023-04-09,04:13,0,0
2023-04-09,04:23,0,0
2023-04-09,04:34,0,0
2023-04-09,04:43,0,0
2023-04-09,04:54,0,0
2023-04-09,05:10,0,0
2023-04-09,05:23,0,0
2023-04-09,05:33,0,0
2023-04-09,05:43,0,0
2023-04-09,05:53,0,0
2023-04-09,06:07,0,0
2023-04-09,06:18,0,0
2023-04-09,06:28,0,0
2023-04-09,06:38,0,0
2023-04-09,06:48,0,0
2023-04-09,06:58,0,0
2023-04-09,07:16,0,0
2023-04-09,07:26,0,0
2023-04-09,07:36,0,0
2023-04-09,07:46,0,0
2023-04-09,07:56,0,0
2023-04-09,08:14,0,0
2023-04-09,08:24,10,0
2023-04-09,08:34,10,0
2023-04-09,08:44,10,0
2023-04-09,08:54,10,0
2023-04-09,09:59,10,0
2023-04-09,11:06,10,0
2023-04-09,11:35,10,0
2023-04-09,11:46,11,2
2023-04-09,11:56,11,2
2023-04-09,12:15,11,2
2023-04-09,12:25,11,2
2023-04-09,12:35,11,2
2023-04-09,12:45,10,0
2023-04-09,12:55,10,0
2023-04-09,13:15,10,0
2023-04-09,13:29,10,0
2023-04-09,13:39,10,0
