店舗:,すすきの三つ星クラス
日付,時間,出勤数,待機
2023-05-03,01:19,0,0
2023-05-03,02:13,0,0
2023-05-03,03:18,0,0
2023-05-03,04:12,0,0
2023-05-03,05:15,0,0
2023-05-03,06:12,0,0
2023-05-03,07:13,0,0
2023-05-03,08:14,0,0
2023-05-03,10:15,12,12
2023-05-03,11:30,12,12
2023-05-03,12:15,12,12
2023-05-03,13:17,12,12
2023-05-03,14:13,12,12
2023-05-03,15:18,12,12
2023-05-03,16:14,0,0
2023-05-03,17:18,14,14
2023-05-03,18:14,14,6
2023-05-03,19:15,14,4
2023-05-03,20:12,14,8
2023-05-03,21:29,14,10
2023-05-03,22:17,10,10
2023-05-03,23:13,6,6
2023-05-04,00:15,0,0
2023-05-04,01:19,0,0
2023-05-04,02:12,0,0
2023-05-04,03:17,0,0
2023-05-04,04:11,0,0
2023-05-04,05:15,0,0
2023-05-04,06:13,0,0
2023-05-04,07:14,0,0
2023-05-04,08:14,0,0
2023-05-04,10:12,14,14
2023-05-04,11:30,14,14
2023-05-04,12:15,14,14
2023-05-04,13:17,14,14
2023-05-04,14:13,14,14
2023-05-04,15:18,0,0
2023-05-04,16:14,0,0
2023-05-04,17:18,11,4
2023-05-04,18:14,11,4
2023-05-04,19:15,11,5
2023-05-04,20:12,9,5
2023-05-04,21:28,9,7
2023-05-04,22:18,9,7
2023-05-04,23:13,9,7
2023-05-05,00:15,0,0
2023-05-05,01:28,0,0
2023-05-05,02:12,0,0
2023-05-05,03:18,0,0
2023-05-05,04:11,0,0
2023-05-05,05:15,0,0
2023-05-05,06:12,0,0
2023-05-05,07:13,0,0
2023-05-05,08:15,0,0
2023-05-05,10:07,13,13
2023-05-05,11:29,9,9
2023-05-05,12:15,13,13
2023-05-05,13:17,13,13
2023-05-05,14:13,13,13
2023-05-05,15:19,0,0
2023-05-05,16:13,0,0
2023-05-05,17:17,12,12
2023-05-05,18:14,10,8
2023-05-05,19:15,8,4
2023-05-05,20:12,8,2
2023-05-05,21:27,8,6
2023-05-05,22:17,6,4
2023-05-05,23:13,4,4
2023-05-06,00:14,0,0
2023-05-06,01:19,0,0
2023-05-06,02:12,0,0
2023-05-06,03:17,0,0
2023-05-06,04:11,0,0
2023-05-06,05:14,0,0
2023-05-06,06:12,0,0
2023-05-06,07:13,0,0
2023-05-06,08:14,0,0
2023-05-06,10:10,14,14
2023-05-06,11:27,14,14
2023-05-06,12:15,14,14
2023-05-06,13:16,14,14
2023-05-06,14:13,14,14
2023-05-06,15:17,0,0
2023-05-06,16:13,0,0
2023-05-06,17:16,12,8
2023-05-06,18:13,12,8
2023-05-06,19:14,10,8
2023-05-06,20:11,10,10
2023-05-06,21:26,10,10
2023-05-06,22:15,8,4
2023-05-06,23:11,8,8
2023-05-07,00:13,0,0
2023-05-07,01:17,0,0
2023-05-07,02:11,0,0
2023-05-07,03:17,0,0
2023-05-07,04:10,0,0
2023-05-07,05:13,0,0
2023-05-07,06:12,0,0
2023-05-07,07:12,0,0
2023-05-07,08:14,0,0
2023-05-07,10:18,12,12
2023-05-07,11:35,12,12
2023-05-07,12:15,12,12
2023-05-07,13:17,12,12
2023-05-07,14:13,12,12
2023-05-07,15:18,12,12
2023-05-07,16:12,0,0
2023-05-07,17:16,10,8
2023-05-07,18:13,10,8
2023-05-07,19:14,10,4
2023-05-07,20:11,10,8
2023-05-07,21:26,10,8
2023-05-07,22:15,10,4
2023-05-07,23:12,10,8
2023-05-08,00:14,0,0
2023-05-08,01:17,0,0
2023-05-08,02:12,0,0
2023-05-08,03:16,0,0
2023-05-08,04:10,0,0
2023-05-08,05:14,0,0
2023-05-08,06:12,0,0
2023-05-08,07:13,0,0
2023-05-08,08:13,0,0
2023-05-08,10:12,10,10
2023-05-08,11:32,10,10
2023-05-08,12:15,10,10
2023-05-08,13:17,10,10
2023-05-08,14:14,10,10
2023-05-08,15:19,0,0
2023-05-08,16:14,0,0
2023-05-08,17:19,11,11
2023-05-08,18:15,11,11
2023-05-08,19:15,11,11
2023-05-08,20:12,11,11
2023-05-08,21:29,11,11
2023-05-08,22:17,11,11
2023-05-08,23:13,8,6
2023-05-09,00:15,0,0
2023-05-09,01:19,0,0
2023-05-09,02:12,0,0
2023-05-09,03:17,0,0
2023-05-09,04:11,0,0
2023-05-09,05:14,0,0
2023-05-09,06:12,0,0
2023-05-09,07:13,0,0
2023-05-09,08:15,0,0
2023-05-09,10:15,13,13
2023-05-09,11:32,15,15
2023-05-09,12:16,13,13
2023-05-09,13:17,15,15
2023-05-09,14:13,15,15
2023-05-09,15:19,15,15
2023-05-09,16:13,0,0
2023-05-09,17:18,10,4
2023-05-09,18:14,10,4
2023-05-09,19:15,10,8
2023-05-09,22:04,8,8
2023-05-09,23:14,8,8
2023-05-10,00:15,0,0
2023-05-10,01:18,0,0
2023-05-10,02:12,0,0
2023-05-10,03:18,0,0
2023-05-10,04:11,0,0
2023-05-10,05:15,0,0
