店舗:,富山県ラトゥール
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,3,3
2023-05-16,14:13,5,2
2023-05-16,15:18,7,3
2023-05-16,16:13,7,4
2023-05-16,17:18,7,4
2023-05-16,18:14,7,5
2023-05-16,19:15,7,3
2023-05-16,20:11,7,3
2023-05-16,21:31,7,4
2023-05-16,22:17,7,3
2023-05-16,23:13,5,3
2023-05-17,00:14,5,1
2023-05-17,01:18,4,2
2023-05-17,02:12,4,4
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
