店舗:,福岡県ゴッドパイ
日付,時間,出勤数,待機
2023-05-16,07:13,2,2
2023-05-16,08:13,2,2
2023-05-16,10:15,5,5
2023-05-16,11:33,7,7
2023-05-16,12:15,7,7
2023-05-16,13:17,7,7
2023-05-16,14:13,7,7
2023-05-16,15:18,8,8
2023-05-16,16:13,8,8
2023-05-16,17:18,8,8
2023-05-16,18:14,8,8
2023-05-16,19:15,8,8
2023-05-16,20:11,8,8
2023-05-16,21:31,12,12
2023-05-16,22:17,0,0
2023-05-16,23:13,12,12
2023-05-17,00:14,14,14
2023-05-17,01:18,14,14
2023-05-17,02:12,14,14
2023-05-17,03:17,11,11
2023-05-17,04:11,11,11
2023-05-17,05:15,9,9
2023-05-17,06:12,2,2
2023-05-17,07:13,2,2
2023-05-17,08:13,2,2
2023-05-17,10:16,5,5
2023-05-17,11:32,8,8
2023-05-17,12:15,8,8
2023-05-17,13:17,8,8
2023-05-17,14:13,8,8
2023-05-17,15:18,11,11
2023-05-17,16:13,11,11
2023-05-17,17:18,10,10
2023-05-17,18:14,9,9
