店舗:,すすきのシークレットサービス
日付,時間,出勤数,待機
2023-05-03,01:19,134,36
2023-05-03,02:13,134,38
2023-05-03,03:18,135,36
2023-05-03,04:12,143,30
2023-05-03,05:15,141,26
2023-05-03,06:12,65,7
2023-05-03,07:13,67,16
2023-05-03,08:14,68,12
2023-05-03,10:15,64,6
2023-05-03,11:30,70,8
2023-05-03,12:15,72,8
2023-05-03,13:17,76,14
2023-05-03,14:13,80,16
2023-05-03,15:18,80,18
2023-05-03,16:14,79,20
2023-05-03,17:18,81,20
2023-05-03,18:14,81,16
2023-05-03,19:15,87,18
2023-05-03,20:12,89,22
2023-05-03,21:29,93,26
