店舗:,兵庫県ビギナーズ
日付,時間,出勤数,待機
2023-05-16,07:13,18,1
2023-05-16,08:13,18,6
2023-05-16,10:15,14,3
2023-05-16,11:33,13,5
2023-05-16,12:15,14,5
2023-05-16,13:17,11,2
2023-05-16,14:13,8,1
2023-05-16,15:18,5,1
2023-05-16,16:13,6,2
2023-05-16,17:18,6,1
2023-05-16,18:14,6,1
2023-05-16,19:15,6,1
2023-05-16,20:11,3,1
2023-05-16,21:31,2,1
2023-05-16,22:17,1,1
2023-05-16,23:13,1,1
2023-05-17,00:14,1,1
2023-05-17,01:18,12,1
2023-05-17,02:12,11,1
2023-05-17,03:17,12,1
2023-05-17,04:11,12,1
