店舗:,ぷるるん小町日本橋店
日付,時間,出勤数,待機
2023-04-17,00:13,3,3
2023-04-17,01:18,3,3
2023-04-17,02:12,1,1
2023-04-17,03:17,1,1
2023-04-17,04:11,1,1
2023-04-17,05:14,1,1
2023-04-17,06:12,1,1
2023-04-17,07:13,1,1
2023-04-17,08:14,18,1
2023-04-17,10:14,18,2
2023-04-17,11:31,18,2
2023-04-17,12:15,18,2
2023-04-17,13:18,18,2
2023-04-17,14:14,18,4
2023-04-17,15:19,16,5
2023-04-17,16:14,13,4
2023-04-17,17:19,13,7
2023-04-17,18:15,10,6
2023-04-17,19:16,11,7
2023-04-17,20:12,10,3
2023-04-17,21:30,8,4
2023-04-17,22:18,5,2
2023-04-17,23:14,5,3
2023-04-18,00:15,5,5
2023-04-18,01:19,5,5
2023-04-18,02:13,1,1
2023-04-18,03:18,1,1
2023-04-18,04:10,1,1
2023-04-18,05:15,1,1
2023-04-18,06:12,1,1
2023-04-18,07:13,1,1
2023-04-18,08:14,1,1
2023-04-18,10:12,19,2
2023-04-18,11:30,19,2
2023-04-18,12:15,18,5
2023-04-18,13:18,18,3
2023-04-18,14:13,18,3
2023-04-18,15:19,13,5
2023-04-18,16:13,13,4
2023-04-18,17:19,13,6
2023-04-18,18:14,12,6
2023-04-18,19:15,11,5
2023-04-18,20:12,9,5
2023-04-18,21:29,3,1
2023-04-18,22:18,3,1
2023-04-18,23:16,3,2
2023-04-19,00:17,2,2
2023-04-19,01:17,2,2
2023-04-19,02:11,1,1
2023-04-19,03:18,1,1
2023-04-19,04:12,1,1
2023-04-19,05:16,1,1
2023-04-19,06:13,1,1
2023-04-19,07:14,1,1
2023-04-19,08:14,21,1
2023-04-19,10:14,20,1
2023-04-19,11:33,20,1
2023-04-19,12:15,19,3
2023-04-19,13:18,19,1
2023-04-19,14:14,17,2
2023-04-19,15:19,17,6
2023-04-19,16:13,16,4
2023-04-19,17:19,15,5
2023-04-19,18:15,13,6
2023-04-19,19:16,11,6
2023-04-19,20:12,8,6
2023-04-19,21:29,6,5
2023-04-19,22:18,5,5
2023-04-19,23:14,4,4
2023-04-20,00:15,4,4
2023-04-20,01:19,4,4
2023-04-20,02:13,1,1
2023-04-20,03:18,1,1
2023-04-20,04:12,1,1
2023-04-20,05:15,1,1
2023-04-20,06:13,1,1
2023-04-20,07:14,1,1
2023-04-20,08:14,15,1
2023-04-20,10:11,15,1
2023-04-20,11:30,15,2
2023-04-20,12:15,14,2
2023-04-20,13:18,14,1
2023-04-20,14:14,13,3
2023-04-20,15:19,12,4
2023-04-20,16:13,12,2
2023-04-20,17:18,11,1
2023-04-20,18:14,10,4
2023-04-20,19:15,9,4
2023-04-20,20:12,9,4
2023-04-20,21:29,8,7
2023-04-20,22:18,5,3
2023-04-20,23:13,4,4
2023-04-21,00:15,4,4
2023-04-21,01:19,4,4
2023-04-21,02:12,1,1
2023-04-21,03:18,1,1
2023-04-21,04:12,1,1
2023-04-21,05:15,1,1
2023-04-21,06:12,1,1
2023-04-21,07:13,1,1
2023-04-21,08:14,19,1
