店舗:,可憐な妻たち
日付,時間,出勤数,待機
2023-04-17,00:13,0,0
2023-04-17,01:18,0,0
2023-04-17,02:12,0,0
2023-04-17,03:17,0,0
2023-04-17,04:11,0,0
2023-04-17,05:14,0,0
2023-04-17,06:12,0,0
2023-04-17,07:13,0,0
2023-04-17,08:14,0,0
2023-04-17,10:14,14,0
2023-04-17,11:31,14,0
2023-04-17,12:15,14,0
2023-04-17,13:18,14,4
2023-04-17,14:14,12,6
2023-04-17,15:19,10,4
2023-04-17,16:14,6,0
2023-04-17,17:19,4,0
2023-04-17,18:15,4,4
2023-04-17,19:16,4,2
2023-04-17,20:12,4,2
2023-04-17,21:30,4,2
2023-04-17,22:18,4,0
2023-04-17,23:14,4,2
2023-04-18,00:15,2,2
2023-04-18,01:19,2,2
2023-04-18,02:13,0,0
2023-04-18,03:18,0,0
2023-04-18,04:10,0,0
2023-04-18,05:15,0,0
2023-04-18,06:12,0,0
2023-04-18,07:13,0,0
2023-04-18,08:14,0,0
2023-04-18,10:12,26,8
2023-04-18,11:30,24,8
2023-04-18,12:15,24,6
2023-04-18,13:18,24,10
2023-04-18,14:13,22,12
2023-04-18,15:19,18,6
2023-04-18,16:13,12,2
2023-04-18,17:19,12,4
2023-04-18,18:14,12,4
2023-04-18,19:15,12,6
2023-04-18,20:12,8,2
2023-04-18,21:29,4,2
2023-04-18,22:18,4,2
2023-04-18,23:16,4,2
2023-04-19,00:17,2,0
2023-04-19,01:17,2,0
2023-04-19,02:11,0,0
2023-04-19,03:18,0,0
2023-04-19,04:12,0,0
2023-04-19,05:16,0,0
2023-04-19,06:13,0,0
2023-04-19,07:14,0,0
2023-04-19,08:14,0,0
2023-04-19,10:14,16,4
2023-04-19,11:33,16,6
2023-04-19,12:15,12,8
2023-04-19,13:18,12,8
2023-04-19,14:14,10,10
2023-04-19,15:19,10,10
2023-04-19,16:13,8,8
2023-04-19,17:19,8,8
2023-04-19,18:15,8,8
2023-04-19,19:16,4,4
2023-04-19,20:12,2,2
2023-04-19,21:29,0,0
2023-04-19,22:18,0,0
2023-04-19,23:14,0,0
2023-04-20,00:15,0,0
2023-04-20,01:19,0,0
2023-04-20,02:13,0,0
2023-04-20,03:18,0,0
2023-04-20,04:12,0,0
2023-04-20,05:15,0,0
2023-04-20,06:13,0,0
2023-04-20,07:14,0,0
2023-04-20,08:14,0,0
2023-04-20,10:11,30,4
2023-04-20,11:30,30,8
2023-04-20,12:15,28,16
2023-04-20,13:18,26,18
2023-04-20,14:14,24,14
2023-04-20,15:19,22,14
2023-04-20,16:13,18,12
2023-04-20,17:18,18,12
2023-04-20,18:14,16,10
2023-04-20,19:15,12,8
2023-04-20,20:12,8,8
2023-04-20,21:29,8,8
2023-04-20,22:18,2,0
2023-04-20,23:13,2,2
2023-04-21,00:15,0,0
2023-04-21,01:19,0,0
2023-04-21,02:12,0,0
2023-04-21,03:18,0,0
2023-04-21,04:12,0,0
2023-04-21,05:15,0,0
2023-04-21,06:12,0,0
2023-04-21,07:13,0,0
2023-04-21,08:14,0,0
2023-04-21,10:12,22,4
2023-04-21,11:31,20,4
2023-04-21,12:15,20,4
2023-04-21,13:18,20,12
2023-04-21,14:14,18,8
2023-04-21,15:19,18,10
2023-04-21,16:13,12,6
2023-04-21,17:18,12,4
2023-04-21,18:14,12,8
2023-04-21,19:15,10,6
2023-04-21,20:12,8,4
2023-04-21,21:28,8,6
2023-04-21,22:17,0,0
2023-04-21,23:13,0,0
2023-04-22,00:15,0,0
2023-04-22,01:19,0,0
2023-04-22,02:13,0,0
2023-04-22,03:18,0,0
2023-04-22,04:11,0,0
2023-04-22,05:15,0,0
2023-04-22,06:12,0,0
2023-04-22,07:13,0,0
2023-04-22,08:14,0,0
2023-04-22,10:14,24,4
2023-04-22,11:31,20,6
2023-04-22,12:15,20,12
2023-04-22,13:17,18,10
2023-04-22,14:13,18,10
2023-04-22,15:18,18,10
2023-04-22,16:12,16,10
2023-04-22,17:17,14,10
2023-04-22,18:13,12,10
2023-04-22,19:14,4,2
2023-04-22,20:11,4,4
2023-04-22,21:26,2,2
2023-04-22,22:16,2,2
2023-04-22,23:12,0,0
2023-04-23,00:13,0,0
2023-04-23,01:18,0,0
2023-04-23,02:12,0,0
2023-04-23,03:17,0,0
2023-04-23,04:11,0,0
2023-04-23,05:15,0,0
2023-04-23,06:12,0,0
2023-04-23,07:13,0,0
2023-04-23,08:14,0,0
2023-04-23,10:21,19,4
2023-04-23,11:38,19,2
2023-04-23,12:15,19,4
2023-04-23,13:18,18,6
2023-04-23,14:13,18,6
2023-04-23,15:18,16,8
2023-04-23,16:12,12,6
2023-04-23,17:17,8,6
2023-04-23,18:13,6,6
2023-04-23,19:14,4,4
2023-04-23,20:11,4,4
2023-04-23,21:27,2,2
2023-04-23,22:16,0,0
2023-04-23,23:12,0,0
2023-04-24,00:14,0,0
2023-04-24,01:18,0,0
2023-04-24,02:12,0,0
2023-04-24,03:17,0,0
2023-04-24,04:11,0,0
2023-04-24,05:14,0,0
2023-04-24,06:12,0,0
2023-04-24,07:13,0,0
2023-04-24,08:14,0,0
2023-04-24,10:15,20,2
2023-04-24,11:33,20,4
2023-04-24,12:15,20,2
2023-04-24,13:18,18,4
