店舗:,恋する妻たち
日付,時間,出勤数,待機
2023-04-17,00:13,0,0
2023-04-17,01:18,0,0
2023-04-17,02:12,0,0
2023-04-17,03:17,0,0
2023-04-17,04:11,0,0
2023-04-17,05:14,0,0
2023-04-17,06:12,0,0
2023-04-17,07:13,0,0
2023-04-17,08:14,0,0
2023-04-17,10:14,19,3
2023-04-17,11:31,18,5
2023-04-17,12:15,18,0
2023-04-17,13:18,19,1
2023-04-17,14:14,19,6
2023-04-17,15:19,18,8
2023-04-17,16:14,18,9
2023-04-17,17:19,18,11
2023-04-17,18:15,18,15
2023-04-17,19:16,17,14
2023-04-17,20:12,12,12
2023-04-17,21:30,5,5
2023-04-17,22:18,4,4
2023-04-17,23:14,2,2
2023-04-18,00:15,0,0
2023-04-18,01:19,0,0
2023-04-18,02:13,0,0
2023-04-18,03:18,0,0
2023-04-18,04:10,0,0
2023-04-18,05:15,0,0
2023-04-18,06:12,0,0
2023-04-18,07:13,0,0
2023-04-18,08:14,0,0
2023-04-18,10:12,0,0
2023-04-18,11:30,22,2
2023-04-18,12:15,22,6
2023-04-18,13:18,20,4
2023-04-18,14:13,18,6
2023-04-18,15:19,19,11
2023-04-18,16:13,18,5
2023-04-18,17:19,18,15
2023-04-18,18:14,18,15
2023-04-18,19:15,10,5
2023-04-18,20:12,10,9
2023-04-18,21:29,6,5
2023-04-18,22:18,1,0
2023-04-18,23:16,1,1
2023-04-19,00:17,0,0
2023-04-19,01:17,0,0
2023-04-19,02:11,0,0
2023-04-19,03:18,0,0
2023-04-19,04:12,0,0
2023-04-19,05:16,0,0
2023-04-19,06:13,0,0
2023-04-19,07:14,0,0
2023-04-19,08:14,0,0
2023-04-19,10:14,14,2
2023-04-19,11:33,14,3
2023-04-19,12:15,14,3
2023-04-19,13:18,14,5
2023-04-19,14:14,14,8
2023-04-19,15:19,10,3
2023-04-19,16:13,9,3
2023-04-19,17:19,9,4
2023-04-19,18:15,9,5
2023-04-19,19:16,10,8
2023-04-19,20:12,8,6
2023-04-19,21:29,5,4
2023-04-19,22:18,3,2
2023-04-19,23:14,3,3
2023-04-20,00:15,0,0
2023-04-20,01:19,0,0
2023-04-20,02:13,0,0
2023-04-20,03:18,0,0
2023-04-20,04:12,0,0
2023-04-20,05:15,0,0
2023-04-20,06:13,0,0
2023-04-20,07:14,0,0
2023-04-20,08:14,0,0
2023-04-20,10:11,3,0
2023-04-20,11:30,22,2
2023-04-20,12:15,22,5
2023-04-20,13:18,22,12
2023-04-20,14:14,21,12
2023-04-20,15:19,19,10
2023-04-20,16:13,17,4
2023-04-20,17:18,17,9
2023-04-20,18:14,12,4
2023-04-20,19:15,11,7
2023-04-20,20:12,10,6
2023-04-20,21:29,6,4
2023-04-20,22:18,5,4
2023-04-20,23:13,1,1
2023-04-21,00:15,0,0
2023-04-21,01:19,0,0
2023-04-21,02:12,0,0
2023-04-21,03:18,0,0
2023-04-21,04:12,0,0
2023-04-21,05:15,0,0
2023-04-21,06:12,0,0
2023-04-21,07:13,0,0
2023-04-21,08:14,0,0
2023-04-21,10:12,14,2
2023-04-21,11:31,14,4
2023-04-21,12:15,14,4
2023-04-21,13:18,14,8
2023-04-21,14:14,11,2
2023-04-21,15:19,10,3
2023-04-21,16:13,10,4
2023-04-21,17:18,9,6
2023-04-21,18:14,10,8
